date,total_beds,total_oxygen_beds,total_covid_icu_beds,total_ventilators,total_icu_beds_without_ventilator,total_noncovid_icu_beds,occupied_beds,occupied_oxygen_beds,occupied_covid_icu_beds,occupied_ventilators,occupied_icu_beds_without_ventilator,occupied_noncovid_icu_beds
2022-01-03,9030,8477,2776,1382,1394,3403,424,402,113,47,66,2305
2022-01-04,9042,8490,2785,1383,1402,3413,564,538,129,59,70,2306
2022-01-05,10871,10163,3085,1405,1680,3215,859,822,208,80,128,2209
2022-01-06,12200,11580,3294,1527,1767,3129,1012,988,182,69,113,2141
2022-01-07,13010,12156,3558,1677,1881,2916,1196,1166,207,75,132,2004
2022-01-08,14312,13252,4017,1773,2244,2878,1590,1491,275,91,184,1975
2022-01-09,14327,13223,4097,1773,2324,2864,1795,1662,389,99,290,1911
2022-01-10,14355,13246,4076,1794,2282,2864,2020,1868,445,129,316,1927
2022-01-11,14628,13567,4171,1873,2298,2854,2255,2070,516,167,349,1947
2022-01-12,15286,14271,4301,1924,2377,2723,2386,2237,612,210,402,1858
2022-01-13,15454,14484,4375,1965,2410,2722,2431,2300,636,210,426,1837
2022-01-14,15478,14484,4372,1953,2419,2720,2482,2338,642,212,430,1842
2022-01-15,15480,14464,4405,1952,2453,2695,2580,2427,693,231,462,1794
2022-01-16,15499,14562,4426,1968,2458,2687,2701,2559,749,229,520,1791
2022-01-17,15493,14559,4435,1968,2467,2686,2781,2648,839,260,579,1800
2022-01-18,15611,14663,4481,1998,2483,2679,2724,2613,854,283,571,1742
2022-01-19,15605,14664,4484,2001,2483,2677,2743,2642,853,283,570,1780
2022-01-20,15589,14662,4481,1954,2527,2655,2689,2603,889,303,586,1782
2022-01-21,15407,14488,4442,1956,2486,2656,2660,2570,874,302,572,1771
2022-01-22,15409,14515,4440,1958,2482,2656,2504,2417,851,296,555,1699
2022-01-23,15411,14563,4444,1961,2483,2648,2423,2358,825,296,529,1686
2022-01-24,15411,14563,4444,1963,2481,2654,2394,2326,844,315,529,1684
2022-01-25,15420,14586,4451,1967,2484,2657,2267,2208,843,330,513,1695
2022-01-26,15420,14586,4452,1967,2485,2657,2109,2048,775,316,459,1712
2022-01-27,15420,14586,4451,1964,2487,2657,2005,1947,741,304,437,1765
2022-01-28,15420,14586,4451,1968,2483,2657,1926,1873,726,305,421,1783
2022-01-29,15428,14596,4464,1967,2497,2655,1773,1728,675,286,389,1788
2022-01-30,15428,14601,4462,1971,2491,2656,1639,1590,606,275,331,1801
2022-01-31,15428,14601,4464,1970,2494,2655,1513,1466,590,248,342,1804
2022-02-01,15426,14594,4462,1964,2498,2653,1449,1395,570,243,327,1807
2022-02-02,15426,14594,4462,1964,2498,2651,1378,1325,549,236,313,1844
2022-02-03,15426,14594,4462,1963,2499,2651,1312,1263,514,221,293,1851
2022-02-04,15426,14594,4462,1962,2500,2650,1186,1139,470,220,250,1824
2022-02-05,15416,14584,4462,1962,2500,2651,1036,993,426,216,210,1831
2022-02-06,15416,14604,4475,1963,2512,2649,980,947,401,207,194,1844
2022-02-07,15416,14604,4475,1958,2517,2653,936,895,380,183,197,1877
2022-02-08,15416,14604,4474,1958,2516,2654,875,832,355,178,177,1898
2022-02-10,15375,14563,4475,1958,2517,2655,729,688,317,155,162,1878
2022-02-11,15375,14563,4475,1958,2517,2657,661,621,283,159,124,1880
2022-02-12,15375,14563,4475,1957,2518,2657,589,550,254,143,111,1881
2022-02-13,15357,14533,4479,1955,2524,2670,525,490,232,129,103,1875
2022-02-14,15357,14533,4479,1956,2523,2665,491,462,209,117,92,1872
2022-02-15,15351,14531,4477,1956,2521,2665,432,407,203,111,92,1892
2022-02-16,15306,14486,4462,1941,2521,2680,422,396,208,96,112,1921
2022-02-17,15306,14486,4462,1941,2521,2692,364,346,182,89,93,1947
2022-02-18,15306,14486,4462,1940,2522,2692,341,323,164,79,85,1925
2022-02-19,15306,14486,4462,1940,2522,2692,302,285,140,73,67,1928
2022-02-20,15299,14479,4461,1940,2521,2693,264,245,125,69,56,1916
2022-02-21,15299,14479,4461,1940,2521,2693,252,238,117,66,51,1912
2022-02-22,15299,14479,4461,1941,2520,2691,246,226,113,65,48,1902
2022-02-23,15294,14474,4459,1940,2519,2689,245,225,109,61,48,1920
2022-02-24,13329,12564,3684,1798,1886,2879,227,204,106,58,48,1994
2022-02-25,11511,10898,2650,1500,1150,2995,195,174,81,44,37,2094
2022-02-26,11113,10530,2501,1454,1047,3014,190,171,74,41,33,2086
2022-02-27,11089,10514,2496,1454,1042,3018,179,158,69,39,30,2084
2022-02-28,11045,10474,2495,1440,1055,3016,167,152,76,45,31,2049
2022-03-01,11028,10459,2493,1440,1053,3019,161,145,75,46,29,2055
2022-03-02,10940,10376,2456,1440,1016,3055,148,131,69,45,24,2066
2022-03-03,10910,10346,2453,1440,1013,3055,134,116,61,40,21,2076
2022-03-04,10770,10206,2418,1440,978,3081,132,113,49,28,21,2090
2022-03-05,10747,10191,2410,1440,970,3073,120,101,43,27,16,2105
2022-03-06,10747,10191,2410,1440,970,3074,105,85,38,25,13,2113
2022-03-07,10747,10191,2410,1440,970,3074,103,86,35,25,10,2126
2022-03-08,10647,10091,2410,1440,970,3075,87,70,28,20,8,2098
2022-03-09,10592,10036,2389,1436,953,3094,90,68,26,18,8,2137
2022-03-10,10598,10064,2391,1434,957,3095,91,70,29,21,8,2146
2022-03-11,10579,10045,2387,1432,955,3099,100,78,29,20,9,2157
2022-03-12,10579,10045,2387,1432,955,3100,95,73,28,19,9,2174
2022-03-13,10560,10026,2386,1432,954,3100,92,72,30,20,10,2113
2022-03-14,10560,10026,2386,1432,954,3100,101,78,32,22,10,2118
2022-03-15,10316,9782,2336,1382,954,3127,106,83,34,25,9,2151
2022-03-16,10316,9782,2336,1382,954,3100,88,69,30,20,10,2110
2022-03-17,10313,9779,2336,1382,954,3100,91,69,32,19,13,2137
2022-03-18,10244,9709,2324,1382,942,3100,83,64,30,20,10,2110
2022-03-19,10244,9710,2324,1382,942,3100,75,59,25,15,10,2114
2022-03-20,10244,9710,2324,1382,942,3100,73,56,22,16,6,2107
2022-03-21,10244,9710,2324,1382,942,3102,80,58,25,19,6,2114
2022-03-22,10225,9691,2305,1366,939,3094,72,52,23,16,7,2141
2022-03-23,10225,9691,2305,1361,944,3094,77,58,21,15,6,2163
2022-03-24,10355,9677,2305,1361,944,3158,80,58,20,13,7,2181
2022-03-25,10205,9678,2310,1361,949,3158,87,66,21,15,6,2178
2022-03-26,9805,9278,2210,1261,949,3158,86,64,18,15,3,2188
2022-03-27,9805,9278,2210,1261,949,3158,69,47,15,12,3,2173
2022-03-28,9805,9278,2210,1261,949,3158,57,35,13,11,2,2170
2022-03-29,9791,9264,2203,1260,943,3165,64,42,12,7,5,2225
2022-03-30,9791,9264,2203,1260,943,3165,63,41,14,9,5,2231
2022-03-31,9791,9264,2203,1260,943,3165,63,41,12,7,5,2231
2022-04-01,9753,9226,2203,1260,943,3165,58,36,13,9,4,2215
2022-04-02,9755,9226,2203,1260,943,3165,62,40,14,11,3,2192
2022-04-03,9755,9226,2203,1260,943,3165,62,40,14,11,3,2198
2022-04-04,9755,9228,2203,1260,943,3165,51,31,12,9,3,2159
2022-04-05,9745,9218,2202,1260,942,3165,40,28,13,10,3,2172
2022-04-06,9745,9218,2202,1260,942,3165,39,25,12,10,2,2179
2022-04-07,9745,9218,2202,1260,942,3165,39,25,12,9,3,2185
2022-04-08,9745,9218,2202,1260,942,3165,48,28,16,13,3,2182
2022-04-09,9745,9218,2202,1260,942,3167,54,35,21,12,9,2206
2022-04-10,9745,9218,2202,1260,942,3167,49,35,16,11,5,2198
2022-04-11,9745,9218,2202,1260,942,3167,47,32,15,9,6,2218
2022-04-12,9745,9218,2202,1260,942,3167,40,27,15,9,6,2201
2022-04-13,9745,9218,2202,1260,942,3167,43,28,16,9,7,2171
2022-04-14,9745,9218,2202,1256,946,3165,48,35,17,10,7,2189
2022-04-15,9735,9213,2197,1257,940,3165,51,35,15,10,5,2222
2022-04-16,9735,9213,2197,1257,940,3166,59,43,20,9,11,2197
2022-04-17,9735,9213,2197,1258,939,3166,67,50,22,11,11,2192
2022-04-18,9735,9213,2197,1258,939,3152,79,58,21,12,9,2196
2022-04-19,9737,9215,2197,1258,939,3152,80,59,21,14,7,2211
2022-04-20,9737,9215,2203,1264,939,3153,91,73,28,18,10,2260
2022-04-21,9730,9213,2196,1264,932,3153,79,61,24,6,18,2288
2022-04-22,9705,9188,2197,1264,933,3152,94,76,29,8,21,2279
2022-04-23,9489,9024,2186,1261,925,3152,100,88,33,9,24,2276
2022-04-24,9379,8914,2158,1253,905,3153,108,96,36,8,28,2268
2022-04-25,9379,8914,2158,1252,906,3147,121,111,36,13,23,2274
2022-04-26,9378,8814,2158,1252,906,3152,135,124,41,10,31,2279
2022-04-27,9395,8821,2168,1252,916,3148,151,137,45,10,35,2268
2022-04-28,9579,9005,2514,1252,1262,3148,150,138,42,9,33,2251
2022-04-29,9581,9007,2247,1252,995,3148,151,140,45,7,38,2245
2022-04-30,9586,9007,2247,1252,995,3152,154,149,48,9,39,2258
2022-05-01,9586,9007,2243,1250,993,3157,163,159,55,14,41,2284
2022-05-02,9577,8998,2240,1246,994,3160,196,189,55,14,41,2253
2022-05-03,9590,9011,2240,1246,994,3159,193,185,63,16,47,2273
2022-05-04,9593,9014,2240,1246,994,3161,190,184,66,20,46,2270
2022-05-05,9593,9013,2239,1245,994,3156,207,200,60,20,40,2263
2022-05-06,9590,9010,2239,1245,994,3159,200,192,62,22,40,2263
2022-05-07,9590,9010,2239,1246,993,3157,212,203,58,20,38,2252
2022-05-08,9590,9010,2239,1246,993,3157,186,177,54,16,38,2255
2022-05-09,9590,9010,2239,1245,994,3157,183,176,51,16,35,2237
2022-05-10,9585,9005,2229,1244,985,3168,184,177,48,16,32,2257
2022-05-11,9578,8999,2223,1244,979,3168,173,167,50,17,33,2274
2022-05-12,9578,8999,2223,1247,976,3167,176,168,52,16,36,2266
2022-05-13,9581,9002,2223,1247,976,3167,161,153,47,15,32,2255
2022-05-14,9581,9002,2223,1253,970,3167,154,147,46,14,32,2259
2022-05-15,9581,9002,2222,1253,969,3165,146,139,42,12,30,2246
2022-05-16,9581,9002,2222,1253,969,3165,137,130,50,16,34,2239
2022-05-17,9581,9002,2222,1253,969,3165,125,118,42,14,28,2233
2022-05-18,9581,9002,2222,1253,969,3165,112,105,41,14,27,2249
2022-05-19,9581,9002,2222,1253,969,3166,116,110,37,14,23,2260
2022-05-20,9581,9002,2222,1253,969,3166,116,109,30,10,20,2278
2022-05-21,9581,9002,2222,1253,969,3166,109,102,28,7,21,2293
2022-05-22,9581,9002,2222,1253,969,3166,114,107,32,9,23,2274
2022-05-23,9581,9002,2222,1253,969,3166,122,115,33,8,25,2275
2022-05-24,9611,9034,2222,1253,969,3179,116,111,30,8,22,2279
2022-05-25,9613,9034,2222,1253,969,3176,101,96,24,8,16,2298
2022-05-26,9603,9024,2222,1253,969,3176,102,97,31,7,24,2288
2022-05-27,9595,9016,2222,1253,969,3176,86,81,30,6,24,2299
2022-05-28,9595,9016,2222,1253,969,3176,74,70,27,8,19,2252
2022-05-29,9595,9016,2222,1254,968,3175,82,78,26,7,19,2252
2022-05-30,9595,9016,2222,1253,969,3175,84,80,27,7,20,2237
2022-05-31,9595,9016,2222,1253,969,3175,84,80,25,8,17,2278
2022-06-01,9595,9016,2222,1253,969,3175,82,78,27,9,18,2272
2022-06-02,9595,9016,2222,1253,969,3175,84,78,28,9,19,2282
2022-06-03,9595,8987,2216,1254,962,3169,80,74,19,6,13,2252
2022-06-04,9639,9045,2220,1257,963,3170,79,73,18,9,9,2258
2022-06-05,9639,9045,2220,1257,963,3170,71,65,14,6,8,2251
2022-06-06,9639,9045,2220,1258,962,3170,88,82,24,5,19,2235
2022-06-07,9639,9045,2220,1258,962,3170,88,82,31,8,23,2257
2022-06-08,9630,9033,2218,1257,961,3173,93,87,28,8,20,2279
2022-06-10,9615,9018,2215,1261,954,3193,91,84,28,6,22,2276
2022-06-11,9615,9018,2215,1261,954,3195,93,84,29,7,22,2260
2022-06-12,9587,8990,2209,1255,954,3198,100,91,34,11,23,2281
2022-06-13,9587,8990,2209,1255,954,3198,125,115,44,13,31,2261
2022-06-14,9582,8985,2204,1254,950,3191,157,146,47,14,33,2274
2022-06-15,9582,8988,2209,1254,955,3187,174,167,49,13,36,2280
2022-06-16,9582,8988,2209,1254,955,3164,181,174,49,15,34,2241
2022-06-17,9515,8861,2131,1176,955,3207,221,206,65,21,44,2286
2022-06-18,9506,8865,2130,1174,956,3244,242,224,70,24,46,2272
2022-06-19,9506,8865,2130,1174,956,3244,248,228,65,22,43,2287
2022-06-20,9506,8859,2130,1173,957,3242,238,227,60,20,40,2254
2022-06-21,9491,8844,2133,1178,955,3242,261,251,71,23,48,2275
2022-06-22,9491,8844,2133,1178,955,3242,263,250,78,23,55,2271
2022-06-23,9496,8849,2132,1177,955,3242,266,255,83,28,55,2295
2022-06-24,9497,8850,2136,1177,959,3242,281,267,88,27,61,2292
2022-06-25,9497,8850,2136,1176,960,3242,290,273,85,26,59,2286
2022-06-26,9497,8850,2136,1176,960,3242,289,270,81,31,50,2283
2022-06-27,9497,8850,2136,1176,960,3242,297,279,76,30,46,2296
2022-06-28,9497,8850,2135,1176,959,3242,286,270,79,35,44,2315
2022-06-29,9497,8850,2135,1176,959,3242,273,257,72,31,41,2295
2022-06-30,9490,8850,2132,1176,956,3227,257,241,85,34,51,2293
2022-07-01,9490,8850,2123,1167,956,3222,243,227,78,31,47,2291
2022-07-02,9498,8856,2123,1167,956,3222,222,211,79,32,47,2295
2022-07-03,9498,8856,2120,1167,953,3226,199,189,64,21,43,2273
2022-07-04,9498,8856,2115,1167,948,3222,184,174,57,22,35,2277
2022-07-05,9494,8855,2115,1169,946,3222,173,162,55,24,31,2280
2022-07-06,9494,8855,2115,1164,951,3222,149,143,48,15,33,2265
2022-07-07,9469,8851,2116,1164,952,3216,156,147,49,17,32,2258
2022-07-08,9469,8851,2116,1164,952,3213,157,147,54,16,38,2272
2022-07-09,9469,8851,2116,1164,952,3213,151,140,54,15,39,2269
2022-07-10,9469,8851,2116,1164,952,3213,142,131,44,11,33,2269
2022-07-11,9469,8851,2116,1164,952,3238,131,120,42,11,31,2268
2022-07-12,9471,8855,2117,1164,953,3238,119,110,37,12,25,2249
2022-07-13,9471,8854,2117,1164,953,3238,117,108,35,11,24,2248
2022-07-14,9471,8854,2117,1164,953,3238,117,108,35,11,24,2248
2022-07-15,9471,8854,2117,1164,953,3238,117,108,35,11,24,2248
2022-07-16,9471,8854,2117,1164,953,3238,117,108,35,11,24,2248
2022-07-17,9471,8854,2117,1164,953,3238,117,108,35,11,24,2248
2022-07-18,9471,8854,2117,1164,953,3238,117,108,35,11,24,2248
2022-07-19,9488,8843,2115,1163,952,3241,118,112,39,17,22,2266
2022-07-20,9488,8843,2115,1163,952,3241,132,122,36,16,20,2257
2022-07-21,9488,8843,2115,1163,952,3241,132,124,34,17,17,2259
2022-07-22,9488,8843,2115,1163,952,3241,118,109,26,10,16,2281
2022-07-23,9488,8843,2115,1163,952,3241,140,133,33,10,23,2278
2022-07-24,9488,8843,2115,1163,952,3241,137,130,32,11,21,2265
2022-07-25,9451,8829,2115,1163,952,3241,161,152,32,10,22,2241
2022-07-26,9451,8829,2115,1163,952,3241,189,178,44,13,31,2235
2022-07-27,9429,8821,2111,1163,948,3240,202,192,49,13,36,2272
2022-07-28,9409,8821,2111,1163,948,3240,213,203,53,16,37,2281
2022-07-29,9409,8821,2117,1168,949,3232,258,245,67,19,48,2289
2022-07-30,9402,8822,2120,1168,952,3235,268,254,72,23,49,2282
2022-07-31,9402,8823,2120,1168,952,3235,289,275,74,21,53,2274
2022-08-01,9405,8826,2120,1168,952,3235,307,294,86,20,66,2279
2022-08-02,9405,8826,2120,1168,952,3235,319,306,91,20,71,2269
2022-08-03,9405,8826,2120,1168,952,3235,319,306,91,20,71,2269
2022-08-04,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-05,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-06,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-07,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-08,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-09,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-10,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-11,9406,8827,2119,1168,951,3233,373,362,98,25,73,2321
2022-08-12,9408,8837,2117,1181,936,3259,577,555,187,51,136,2270
2022-08-13,9415,8844,2129,1193,936,3256,568,544,191,62,129,2273
2022-08-14,9415,8844,2129,1193,936,3253,586,561,203,66,137,2293
2022-08-15,9416,8845,2129,1194,935,3256,591,566,199,68,131,2276
2022-08-16,9416,8845,2129,1194,935,3256,588,560,205,65,140,2278
2022-08-17,9418,8847,2155,1219,936,3255,587,554,195,68,127,2339
2022-08-18,9417,8846,2155,1217,938,3255,559,532,177,54,123,2350
2022-08-19,9420,8849,2159,1217,942,3255,540,514,184,53,131,2337
2022-08-20,9421,8850,2160,1218,942,3247,522,494,179,54,125,2313
2022-08-21,9422,8851,2160,1218,942,3256,494,467,175,48,127,2322
2022-08-22,9422,8851,2159,1217,942,3256,475,448,152,53,99,2320
2022-08-23,9407,8836,2134,1192,942,3256,461,436,149,48,101,2315
2022-08-24,9395,8824,2134,1191,943,3258,415,394,140,49,91,2344
2022-08-25,9421,8850,2160,1218,942,3279,382,363,129,50,79,2331
2022-08-26,9405,8834,2144,1202,942,3274,357,340,118,45,73,2323
2022-08-27,9405,8834,2144,1201,943,3274,313,300,114,42,72,2339
2022-08-28,9405,8834,2145,1201,944,3274,293,280,107,40,67,2349
2022-08-29,9405,8834,2145,1201,944,3274,264,252,102,38,64,2307
2022-08-30,9405,8834,2145,1201,944,3274,247,240,91,32,59,2338
2022-08-31,9405,8834,2146,1202,944,3274,230,224,83,33,50,2332
2022-09-01,9405,8834,2145,1202,943,3274,211,201,78,27,51,2323
2022-09-02,9401,8830,2145,1202,943,3274,194,184,65,25,40,2327
2022-09-03,9391,8820,2145,1202,943,3274,165,155,57,23,34,2337
2022-09-04,9391,8820,2145,1202,943,3274,142,135,44,18,26,2327
2022-09-05,9391,8820,2145,1202,943,3274,134,127,40,15,25,2323
2022-09-06,9391,8820,2145,1202,943,3274,119,113,34,14,20,2381
2022-09-07,9391,8820,2145,1202,943,3274,105,100,28,12,16,2362
2022-09-08,9391,8830,2145,1202,943,3274,104,98,28,8,20,2329
2022-09-09,9321,8760,2105,1202,903,3278,95,91,23,6,17,2334
2022-09-10,9321,8760,2130,1202,928,3278,85,82,26,8,18,2340
2022-09-11,9321,8760,2129,1202,927,3284,79,76,24,5,19,2315
2022-09-12,9322,8760,2129,1202,927,3284,75,73,24,6,18,2315
2022-09-13,9321,8760,2129,1202,927,3282,65,62,25,8,17,2314
2022-09-14,9291,8730,2129,1202,927,3282,63,59,23,11,12,2324
2022-09-15,9286,8725,2124,1197,927,3282,58,55,26,12,14,2336
2022-09-16,9270,8709,2124,1197,927,3282,66,63,29,15,14,2342
2022-09-17,9270,8709,2124,1197,927,3282,63,59,27,14,13,2346
2022-09-18,9270,8709,2124,1197,927,3282,57,53,26,14,12,2327
2022-09-19,9270,8709,2124,1197,927,3282,54,50,21,13,8,2320
2022-09-20,9270,8709,2124,1197,927,3282,44,40,19,10,9,2330
2022-09-21,9266,8705,2124,1197,927,3282,45,42,15,8,7,2345
2022-09-22,9266,8705,2124,1197,927,3282,42,38,15,9,6,2353
2022-09-23,8874,8313,2086,1159,927,3282,45,41,18,9,9,2340
2022-09-24,8874,8313,2086,1159,927,3276,41,37,17,8,9,2353
2022-09-25,8874,8313,2086,1159,927,3276,43,39,17,9,8,2323
2022-09-26,8869,8308,2086,1159,927,3276,42,38,17,10,7,2315
2022-09-27,8869,8308,2086,1159,927,3282,45,41,15,8,7,2295
2022-09-28,8863,8302,2086,1159,927,3282,60,57,21,10,11,2310
2022-09-29,8863,8302,2086,1159,927,3282,57,55,18,8,10,2323
2022-09-30,8863,8302,2086,1159,927,3282,52,50,19,6,13,2314
2022-10-01,8857,8296,2086,1159,927,3282,51,48,16,4,12,2319
2022-10-02,8857,8296,2086,1159,927,3282,46,43,18,4,14,2300
2022-10-03,8857,8296,2086,1159,927,3282,57,53,17,5,12,2310
2022-10-04,8857,8296,2086,1159,927,3282,40,36,15,6,9,2296
2022-10-05,8857,8296,2086,1159,927,3282,45,41,13,5,8,2289
2022-10-06,8857,8296,2086,1159,927,3282,42,38,14,7,7,2292
2022-10-07,8857,8296,2086,1159,927,3282,40,36,10,5,5,2307
2022-10-08,8857,8296,2086,1159,927,3282,34,30,10,6,4,2317
2022-10-09,8835,8274,2086,1159,927,3282,36,32,12,7,5,2278
2022-10-10,8835,8274,2086,1159,927,3282,40,35,12,8,4,2281
2022-10-11,8835,8274,2086,1159,927,3282,34,28,9,5,4,2319
2022-10-12,8835,8274,2086,1159,927,3282,39,31,11,5,6,2305
2022-10-13,8837,8276,2086,1159,927,3277,37,29,13,6,7,2289
2022-10-14,8837,8276,2086,1159,927,3277,41,34,15,6,9,2299
2022-10-15,8819,8258,2083,1159,924,3284,43,36,12,6,6,2310
2022-10-16,8819,8258,2083,1159,924,3284,45,38,14,6,8,2319
2022-10-17,8819,8258,2083,1159,924,3284,44,36,13,6,7,2320
2022-10-18,8819,8248,2083,1159,924,3284,57,48,18,7,11,2320
2022-10-19,8819,8248,2083,1159,924,3284,54,46,15,7,8,2334
2022-10-20,8819,8248,2083,1159,924,3284,51,43,18,10,8,2329
2022-10-21,8819,8248,2083,1159,924,3284,49,41,17,10,7,2337
2022-10-22,8819,8248,2083,1159,924,3284,48,42,11,7,4,2338
2022-10-23,8819,8248,2083,1159,924,3284,44,39,12,7,5,2307
2022-10-24,8819,8248,2083,1159,924,3284,41,38,13,8,5,2269
2022-10-25,8819,8248,2083,1159,924,3279,38,36,16,8,8,2280
2022-10-26,8809,8267,2073,1149,924,3279,42,40,16,7,9,2294
2022-10-27,8805,8279,2073,1149,924,3284,44,42,15,8,7,2320
2022-10-28,8805,8279,2073,1148,925,3284,48,46,13,7,6,2322
2022-10-29,8805,8279,2073,1148,925,3284,48,46,9,6,3,2296
2022-10-30,8805,8279,2073,1148,925,3284,46,44,8,6,2,2320
2022-10-31,8805,8279,2073,1148,925,3284,41,39,11,7,4,2348
2022-11-01,8778,8262,2071,1148,923,3292,44,42,12,6,6,2378
2022-11-02,8778,8262,2053,1148,905,3292,45,41,11,5,6,2373
2022-11-03,8773,8257,2053,1148,905,3292,46,40,12,6,6,2378
2022-11-04,8773,8257,2053,1148,905,3292,45,39,11,5,6,2387
2022-11-05,8773,8257,2053,1148,905,3292,49,43,10,4,6,2390
2022-11-06,8773,8257,2053,1148,905,3292,42,36,11,4,7,2364
2022-11-07,8773,8257,2053,1148,905,3292,40,37,9,4,5,2346
2022-11-08,8773,8257,2053,1148,905,3292,31,28,8,3,5,2369
2022-11-09,8768,8252,2053,1148,905,3292,38,35,12,6,6,2373
2022-11-10,8768,8252,2053,1148,905,3292,30,27,9,4,5,2371
2022-11-11,8768,8252,2053,1148,905,3292,36,33,9,6,3,2392
2022-11-12,8768,8252,2053,1148,905,3292,28,25,10,5,5,2380
